path,N,method,duration,objective,fairness,min,max,mean,std
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,RC,0.608717,1801.21,gini,1,44,22.5,30.4056
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,BS,7.71821,1350.68,gini,22,23,22.5,0.707107
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,GA,2961.2,1094.11,gini,16,29,22.5,9.19239
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,DC ,0.477887,1597.16,gini,2,42,22,28.2843
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,RC,0.524567,1812.92,gini,2,42,22,28.2843
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,BS,4.24998,1409.17,gini,22,22,22,0
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,GA,3058.64,1219.12,gini,6,38,22,22.6274
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,DC ,0.545907,1655.49,gini,1,44,22.5,30.4056
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,RC,0.599856,1724.75,gini,1,44,22.5,30.4056
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,BS,6.1852,1469.74,gini,22,23,22.5,0.707107
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,GA,3134.28,1228.38,gini,17,28,22.5,7.77817
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,DC ,0.541447,1548.11,gini,2,43,22.5,28.9914
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,RC,0.605567,1979.09,gini,2,43,22.5,28.9914
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,BS,6.45073,1415.1,gini,22,23,22.5,0.707107
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,GA,3268.99,1179.24,gini,18,27,22.5,6.36396
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,DC ,0.885055,3765,jain,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,RC,2.57175,4166.79,jain,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,BS,14.6959,3522.84,jain,44,45,44.5,0.707107
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,GA,8681.78,3056.74,jain,36,53,44.5,12.0208
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,DC ,0.898234,3983.53,jain,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,RC,1.06715,4547.22,jain,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,BS,15.7204,3710.08,jain,46,46,46,0
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,GA,8719.19,3182.12,jain,42,50,46,5.65685
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,DC ,0.842515,3498.07,jain,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,RC,1.10115,3889.48,jain,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,BS,20.2914,3347.84,jain,43,43,43,0
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,GA,10421.5,2722.13,jain,9,77,43,48.0833
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,DC ,2.00426,4360.99,jain,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,RC,1.1609,4640.68,jain,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,BS,21.575,4023.32,jain,45,46,45.5,0.707107
