path,N,method,duration,objective,fairness,min,max,mean,std
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,RC,29.5055,178393,gini,0,89,42.9,42.9564
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,BS,148.542,106939,gini,42,43,42.9,0.307794
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,GA,79144.6,108857,gini,40,45,42.9,1.07115
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,DC ,28.6773,188106,gini,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,RC,30.9017,186111,gini,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,BS,149.884,116438,gini,44,45,44.35,0.48936
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,GA,82249.4,110103,gini,42,46,44.35,1.13671
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,DC ,29.8617,184569,gini,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,RC,31.8329,189396,gini,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,BS,154.458,124657,gini,46,47,46.15,0.366348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,GA,82532.2,122944,gini,43,50,46.15,1.75544
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,DC ,29.4995,184928,gini,0,93,45.9,45.9942
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,RC,31.653,185703,gini,0,93,45.9,45.9942
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,BS,169.352,120697,gini,45,46,45.9,0.307794
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,GA,89808.7,116464,gini,42,48,45.9,1.68273
