path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,5,2,10,899.489,1036.34
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,5,1,10,1006.73,1009.08
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,5,0,10,1021.49,1076.99
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,2,5,1863.17,942.971
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,1,5,2187.14,1007.2
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,0,5,2464.74,982.556
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,2,10,3751.64,913.946
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,1,10,3793.54,947.14
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,10,0,10,4027.76,968.515
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,2,5,3626.22,884.456
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,0,5,5227.4,988.416
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,1,5,5429.29,941.512
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,0,10,8445.59,965.541
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,1,10,8514.86,912.869
"../instances/50/train/instance27_nreq50_nveh2_gamma41.txt",50,15,2,10,8183.67,897.786
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,2,5,524.861,1326.37
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,1,5,553.055,1309.1
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,0,5,575.532,1364.68
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,1,10,1009.27,1294.2
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,2,10,1038.17,1324.19
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,5,0,10,1117.71,1356.63
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,2,5,2387.15,1195.13
