path,N,method,fairness_opt,fairness_eval,duration,objective,min,max,mean,std
"../instances/100/test/instance44_nreq100_nveh2_gamma89.txt",100,GA,maxmin,maxmin,2492.14,3180.11,40,49,44.5,6.36396
"../instances/100/test/instance44_nreq100_nveh2_gamma89.txt",100,GA,maxmin,gini,2492.14,3178.33,40,49,44.5,6.36396
"../instances/100/test/instance44_nreq100_nveh2_gamma89.txt",100,GA,gini,jain,2327.16,3324.06,36,53,44.5,12.0208
"../instances/100/test/instance44_nreq100_nveh2_gamma89.txt",100,GA,gini,maxmin,2327.16,3338.41,36,53,44.5,12.0208
"../instances/100/test/instance44_nreq100_nveh2_gamma89.txt",100,GA,gini,gini,2327.16,3331.94,36,53,44.5,12.0208
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,jain,jain,2536,3340.37,31,58,44.5,19.0919
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,jain,maxmin,2536,3356.72,31,58,44.5,19.0919
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,jain,gini,2536,3349.54,31,58,44.5,19.0919
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,maxmin,jain,2459.76,3279.89,41,48,44.5,4.94975
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,maxmin,maxmin,2459.76,3288.76,41,48,44.5,4.94975
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,maxmin,gini,2459.76,3284.56,41,48,44.5,4.94975
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,gini,jain,2333.91,3296.91,39,50,44.5,7.77817
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,gini,maxmin,2333.91,3304.83,39,50,44.5,7.77817
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,gini,gini,2333.91,3301.05,39,50,44.5,7.77817
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,jain,jain,2419.65,3672.18,40,51,45.5,7.77817
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,jain,maxmin,2419.65,3679,40,51,45.5,7.77817
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,jain,gini,2419.65,3675.77,40,51,45.5,7.77817
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,maxmin,jain,2405.56,3613.48,38,53,45.5,10.6066
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,maxmin,maxmin,2405.56,3623.88,38,53,45.5,10.6066
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,maxmin,gini,2405.56,3619.14,38,53,45.5,10.6066
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,gini,jain,2605.62,3569.94,29,62,45.5,23.3345
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,gini,maxmin,2605.62,3582.92,29,62,45.5,23.3345
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,gini,gini,2605.62,3577.25,29,62,45.5,23.3345
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,jain,jain,2426.29,3251.53,40,49,44.5,6.36396
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,jain,maxmin,2426.29,3260.24,40,49,44.5,6.36396
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,jain,gini,2426.29,3256.05,40,49,44.5,6.36396
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,maxmin,jain,2540.69,3222.45,36,53,44.5,12.0208
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,maxmin,maxmin,2540.69,3239.44,36,53,44.5,12.0208
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,maxmin,gini,2540.69,3231.65,36,53,44.5,12.0208
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,gini,jain,2313.1,3183.63,39,50,44.5,7.77817
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,gini,maxmin,2313.1,3198.05,39,50,44.5,7.77817
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,gini,gini,2313.1,3191.32,39,50,44.5,7.77817
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,jain,jain,2633.15,2988.11,27,59,43,22.6274
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,jain,maxmin,2633.15,3012.72,27,59,43,22.6274
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,jain,gini,2633.15,3002.62,27,59,43,22.6274
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,maxmin,jain,3142.98,2904.36,17,69,43,36.7696
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,maxmin,maxmin,3142.98,2933.13,17,69,43,36.7696
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,maxmin,gini,3142.98,2923.82,17,69,43,36.7696
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,gini,jain,2663.57,3003.77,25,61,43,25.4558
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,gini,maxmin,2663.57,3027.65,25,61,43,25.4558
"../instances/100/test/instance40_nreq100_nveh2_gamma86.txt",100,GA,gini,gini,2663.57,3017.69,25,61,43,25.4558
path,N,method,fairness_opt,fairness_eval,duration,objective,min,max,mean,std
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,jain,jain,5254.66,8985.2,22,63,43.5,18.1567
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,jain,maxmin,5254.66,9151.23,22,63,43.5,18.1567
