path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,5,1,5,575.605,1121.1
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,5,2,10,994.464,1123.05
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,5,1,10,1070.3,1114.42
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,5,0,10,1117.01,1138.45
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,2,5,2322.97,1068.03
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,1,5,2578.35,1113.2
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,0,5,2736.4,1179.75
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,0,10,3657.12,1089
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,2,10,4020.04,969.826
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,1,5,4059.5,1090.29
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,10,1,10,4218.08,1129.78
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,2,5,4066.87,963.755
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,0,5,4927.69,1120.3
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,1,10,7376.18,1057.41
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,2,10,7110.11,1024.86
"../instances/50/train/instance2_nreq50_nveh2_gamma41.txt",50,15,0,10,9636.67,1120.1
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,0,5,549.36,1446.31
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,1,5,559.363,1404.34
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,2,5,567.058,1369.91
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,1,10,999.255,1267.38
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,2,10,1053.88,1280.96
