path,N,method,duration,objective
"../instances/50/test/instance52_nreq50_nveh2_gamma44.txt",50,SA,0.6988,1433.86
"../instances/50/test/instance52_nreq50_nveh2_gamma44.txt",50,LN,7119.07,1280.33
"../instances/50/test/instance52_nreq50_nveh2_gamma44.txt",50,GA,4001.94,1214.1
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,DC,0.568482,1802.82
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,RC,1.06835,1994.6
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,BS,3.38622,1745.58
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,VND,61.3248,1127.75
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,SA,2.0896,1788.05
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,LN,7249.55,1666.24
"../instances/50/test/instance34_nreq50_nveh2_gamma47.txt",50,GA,3922.4,1454.18
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,DC,0.608482,1679.75
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,RC,1.27425,1661.97
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,BS,46.3502,1650.66
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,VND,110.177,1062.05
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,SA,0.038999,1676.13
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,LN,6773.2,1254.11
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,4318.48,1273.18
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,DC,0.731399,1541.57
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,RC,12.9669,1706.67
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,BS,2.98718,1499.91
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,VND,70.0494,1157.13
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,SA,24.683,1524.23
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,LN,7414.13,1306.59
"../instances/50/test/instance41_nreq50_nveh2_gamma45.txt",50,GA,3886.39,1232.18
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,DC,0.519123,1548.07
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,RC,0.833438,1760.41
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,BS,73.4067,1532.13
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,VND,91.1394,1126.58
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,SA,0.234726,1546.38
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,LN,7389,1266.98
"../instances/50/test/instance33_nreq50_nveh2_gamma45.txt",50,GA,4096.5,1209.22
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,DC,0.619951,1533.41
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,RC,0.584642,1836.04
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,BS,3.10444,1483.86
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,VND,104.218,1059.61
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,SA,0.74572,1533.41
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,LN,7314.1,1281.48
"../instances/50/test/instance32_nreq50_nveh2_gamma45.txt",50,GA,4262.92,1219.93
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,DC,0.702249,1687.55
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,RC,1.434,1830.64
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,BS,5.1059,1588.06
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,VND,106.763,1189.31
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,SA,25.2786,1676.27
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,LN,7991.77,1419.81
"../instances/50/test/instance36_nreq50_nveh2_gamma46.txt",50,GA,3936.67,1293.49
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,DC,1.84189,1701.05
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,RC,2.1846,1756.25
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,BS,25.6672,1696.6
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,VND,118.287,1078.77
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,SA,0.596511,1700.24
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,LN,8816.2,1453.86
"../instances/50/test/instance54_nreq50_nveh2_gamma49.txt",50,GA,4171.12,1373.93
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,DC,0.517533,1644.37
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,RC,0.569742,1905.24
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,BS,2.89996,1531.28
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,VND,37.0891,1037.4
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,SA,0.510773,1641.72
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,LN,4563.33,1235.98
"../instances/50/test/instance58_nreq50_nveh2_gamma45.txt",50,GA,2415.12,1243.35
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,DC,0.484643,1572.93
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,RC,0.576452,1694.47
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,BS,3.33239,1438.78
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,VND,34.3779,1086.12
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,SA,0.589151,1572.93
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,LN,5169.11,1178.64
"../instances/50/test/instance39_nreq50_nveh2_gamma43.txt",50,GA,2857.99,1125.09
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,DC,0.512222,1644.09
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,RC,0.565992,1728.05
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,BS,3.06116,1449.27
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,VND,38.477,1044.92
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,SA,0.012211,1642.56
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,LN,5142.94,1300.23
"../instances/50/test/instance49_nreq50_nveh2_gamma44.txt",50,GA,2571.42,1204.94
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,DC,0.515912,1828.01
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,RC,0.606211,1951.92
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,BS,3.53742,1656.63
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,VND,14.192,1804.27
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,SA,0.61276,1822.7
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,LN,6044.93,1489.84
"../instances/50/test/instance46_nreq50_nveh2_gamma47.txt",50,GA,2792.51,1348.05
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,DC,1.08658,3822.34
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,RC,1.1149,4163.14
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,BS,10.0016,3624.6
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,VND,207.148,2274.01
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,SA,1.33327,3822.34
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,LN,43980.9,3222.52
