path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.1,8706.33
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.2,9043.09
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.3,9355
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.6,8578
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.7,8540.06
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.8,8466
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,0.9,8477.03
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,1,8255.15
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.1,8642
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.2,9346.01
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.3,9547.06
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.6,9051.01
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.7,8745.2
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.8,8662.01
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,0.9,8440.06
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,1,8991
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.1,9569.24
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.2,10005
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.3,9834
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.6,9151
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.7,9096.14
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.8,9341.02
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,0.9,8831.07
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance50_nreq100_nveh2_gamma91.txt,1,8879.01
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.1,9136.18
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.2,9607.2
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.3,9808.33
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.6,8045.06
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.7,8665.08
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.8,8477.18
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,0.9,8432.05
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,1,8183
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.1,9368.09
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.2,9526.19
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.3,9994.01
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.6,9155.47
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.7,9102.19
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.8,8909.02
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,0.9,9004.09
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance53_nreq100_nveh2_gamma85.txt,1,9006.02
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.1,10385
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.2,9959.63
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.3,9565
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.6,9693.02
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.7,8990
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.8,9024
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,0.9,9065.13
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,1,9073
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.1,10528.1
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.2,10666
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.3,10118
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.6,9794.09
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.7,10095
/home/chris/Desktop/heuristics/heuristics/instances/100/test/instance59_nreq100_nveh2_gamma96.txt,0.8,9677.03
