path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.1,4242
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.2,4199
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.3,4258.09
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.6,4262.08
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.7,3891.02
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.8,3851
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,0.9,4126
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,1,4100.04
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.1,2893.19
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.2,2795.01
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.3,3100
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.6,3118.14
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.7,2924.01
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.8,2789
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,0.9,2649
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,1,2659.21
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,0.1,3591.13
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,0.2,3682.02
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,0.3,3414.04
/home/chris/Desktop/heuristics/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,0.6,3598.02
