path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.1,296856
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.2,306077
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.3,296906
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.6,287435
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.7,282683
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.8,279458
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,0.9,277552
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance35_nreq1000_nveh20_gamma888.txt,1,276255
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.1,283652
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.2,284952
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.3,286597
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.6,268067
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.7,267362
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.8,264887
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,0.9,264776
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance60_nreq1000_nveh20_gamma851.txt,1,265362
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.1,308764
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.2,305340
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.3,306523
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.6,289942
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.7,287885
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.8,284169
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,0.9,282489
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance40_nreq1000_nveh20_gamma908.txt,1,280153
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.1,293374
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.2,303360
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.3,305254
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.6,288318
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.7,282103
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.8,282501
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,0.9,279728
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance31_nreq1000_nveh20_gamma890.txt,1,275062
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.1,297272
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.2,300333
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.3,300709
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.6,287160
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.7,287110
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.8,284020
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,0.9,283139
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance46_nreq1000_nveh20_gamma904.txt,1,279204
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.1,290539
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.2,297408
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.3,297625
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.6,277552
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.7,277656
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.8,274308
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,0.9,273629
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance45_nreq1000_nveh20_gamma868.txt,1,268361
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.1,305629
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.2,304832
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.3,305084
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.6,292757
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.7,287057
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.8,287919
/home/chris/Desktop/heuristics/heuristics/instances/1000/test/instance39_nreq1000_nveh20_gamma917.txt,0.9,286106
