path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.1,910048
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.2,935249
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.3,927151
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.6,899438
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.7,890728
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.8,889095
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,0.9,882442
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance42_nreq2000_nveh40_gamma1918.txt,1,880168
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.1,813416
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.2,829348
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.3,810725
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.6,755252
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.7,750221
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.8,755601
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,0.9,738982
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance50_nreq2000_nveh40_gamma1717.txt,1,750764
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.1,902707
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.2,910573
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.3,917051
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.6,893197
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.7,877716
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.8,871210
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,0.9,872963
/home/chris/Desktop/heuristics/heuristics/instances/2000/test/instance32_nreq2000_nveh40_gamma1905.txt,1,878123
