path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,1,24086.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.1,25302.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.2,26174.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.3,26013.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.6,23270.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.7,23861
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.8,23441.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.9,23945.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,1,23830.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.1,24954.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.2,25416.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.3,26005.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.6,25029.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.7,25535.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.8,24756.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.9,24105.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,1,23955.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.1,27723.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.2,27647.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.3,27210.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.6,26610.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.7,26033.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.8,25904
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.9,26393.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,1,25276.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.1,25386.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.2,26111.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.3,26056.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.6,24203.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.7,23683.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.8,23058.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.9,23698.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,1,23454.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.1,26993.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.2,27891.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.3,27547.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.6,26797.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.7,26994.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.8,25831.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.9,25638.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,1,26021.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.1,28701.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.2,28536.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.3,29376.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.6,28029.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.7,28060.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.8,27865.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,0.9,27543.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,1,27213.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.1,29184.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.2,29316.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.3,29746.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.6,28348.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.7,27882.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.8,27495.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,0.9,26659.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,1,26746.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.1,28018.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.2,27570.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.3,28114.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.6,25581
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.7,26096.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.8,25849
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,0.9,25079.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,1,25597.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.1,27427.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.2,28047.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.3,27930.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.6,27380.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.7,27044.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.8,25593.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,0.9,25659.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,1,25768.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.1,27023.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.2,27812.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.3,25662.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.6,24833.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.7,24283
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.8,24439.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,0.9,24299.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance42_nreq200_nveh4_gamma179.txt,1,24247.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.1,28056.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.2,28475.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.3,28800.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.6,28057.1
