path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.1,105655
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.2,104844
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.3,104439
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.6,98445.1
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.7,96286.6
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.8,94958
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,0.9,93746
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance38_nreq500_nveh10_gamma432.txt,1,94324.7
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.1,103428
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.2,103092
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.3,101464
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.6,96274.2
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.7,94321.8
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.8,93868.1
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,0.9,94620.2
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance49_nreq500_nveh10_gamma446.txt,1,93216.6
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance51_nreq500_nveh10_gamma474.txt,0.1,109978
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance51_nreq500_nveh10_gamma474.txt,0.2,114859
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance51_nreq500_nveh10_gamma474.txt,0.3,113942
/home/chris/Desktop/heuristics/heuristics/instances/500/test/instance51_nreq500_nveh10_gamma474.txt,0.6,112086
