path,N,permutation,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,120,989.606
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,201,989.066
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,210,1037.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,12,871.582
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,21,969.008
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,102,960.693
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,120,961.228
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,201,910.814
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,210,869.367
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,12,1069.42
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,21,1056.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,102,1797.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,120,1060.41
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,201,1049.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,210,1039.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,12,2366.29
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,21,2334.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,102,2335.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,120,2627.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,201,2394.12
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance48_nreq100_nveh2_gamma91.txt,100,210,2426.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,12,2111.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,21,2087.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,102,2056.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,120,2142.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,201,2056.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,210,2498.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,12,2458.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,21,2312.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,102,2431.17
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,120,2347.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,201,2327.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,210,2369.08
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,12,2369.66
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,21,2426.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,102,2102.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,120,2334.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,201,2398.33
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance33_nreq100_nveh2_gamma92.txt,100,210,2547.13
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,12,2492.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,21,2614.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,102,2632.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,120,2562.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,201,2479.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance46_nreq100_nveh2_gamma92.txt,100,210,2322.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,12,2388.35
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,21,2057.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,102,2491.08
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,120,2438.69
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,201,2308.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance47_nreq100_nveh2_gamma90.txt,100,210,2307.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,12,2482.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,21,2525.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,102,2365.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,120,2541.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,201,2843.69
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,210,2703.37
