path,N,alpha,beam_width,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,5,816.004
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,5,868.382
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,5,999.156
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,5,804.175
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,5,889.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,5,876.013
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,5,807.239
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,5,915.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,6,859.289
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,6,958.314
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,6,890.006
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,6,866.408
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,6,935.002
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,6,735.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,6,833.348
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,6,868.002
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,6,869.324
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,6,826.007
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,7,823.038
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,7,939.548
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,7,889.004
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,7,808.111
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,7,953.118
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,7,726.065
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,7,861.395
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,7,822.202
