path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,50,100,0.97,1016.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,50,100,0.99,1078.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,100,100,0.95,971.439
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,100,100,0.97,967.423
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,100,100,0.99,957.384
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,10,100,0.95,1092.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,10,100,0.97,1021.94
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,10,100,0.99,1071.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,50,100,0.95,940.764
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,50,100,0.97,1016.93
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,50,100,0.99,997.892
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,100,100,0.95,972.838
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,100,100,0.97,1051
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,100,100,0.99,1004.91
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,10,100,0.95,1021.33
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,10,100,0.97,1041.42
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,10,100,0.99,916.771
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,50,100,0.95,1105.69
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,50,100,0.97,1026.35
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,50,100,0.99,1063.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,100,100,0.95,1055.48
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,100,100,0.97,1011.28
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,100,100,0.99,1075.57
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,10,100,0.95,1100.35
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,10,100,0.97,1005.08
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,10,100,0.99,1028.15
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,50,100,0.95,1003.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,50,100,0.97,1097.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,50,100,0.99,1071.27
